start,end,label,country,local_link
1770,1827,Ludwig Van Beethoven,Germany,Ludwig%20Van%20Beethoven
1756,1791,Wolfgang Amadeus Mozart,Austria,Wolfgang%20Amadeus%20Mozart
1685,1750,Johann Sebastian Bach,Germany,Johann%20Sebastian%20Bach
1813,1883,Richard Wagner,Germany,Richard%20Wagner
1732,1809,Joseph Haydn,Austria,Joseph%20Haydn
1833,1897,Johannes Brahms,Germany,Johannes%20Brahms
1797,1828,Franz Schubert,Austria,Franz%20Schubert
1840,1893,Pyotr Ilyich Tchaikovsky,Russia,Pyotr%20Ilyich%20Tchaikovsky
1685,1759,George Frideric Handel,Germany,George%20Frideric%20Handel
1882,1971,Igor Stravinsky,Russia,Igor%20Stravinsky
1810,1849,Frederic Chopin,Poland,Frederic%20Chopin
1819,1896,Clara Schumann,Germany,Clara%20Schumann
1810,1856,Robert Schumann,Germany,Robert%20Schumann
1805,1847,Fanny Mendelssohn,Germany,Fanny%20Mendelssohn
1809,1847,Felix Mendelssohn,Germany,Felix%20Mendelssohn
1862,1918,Claude Debussy,France,Claude%20Debussy
1811,1886,Franz Liszt,Hungary,Franz%20Liszt
1841,1904,Antonin Dvorak,Czech,Antonin%20Dvorak
1813,1901,Giuseppe Verdi,Italy,Giuseppe%20Verdi
1860,1911,Gustav Mahler,Austria,Gustav%20Mahler
1678,1741,Antonio Vivaldi,Italy,Antonio%20Vivaldi
1864,1949,Richard Strauss,Germany,Richard%20Strauss
1891,1953,Serge Prokofiev,Russia,Serge%20Prokofiev
1906,1975,Dmitri Shostakovich,Russia,Dmitri%20Shostakovich
1881,1945,Béla Bartók,Hungary,Béla%20Bartók
1803,1869,Hector Berlioz,France,Hector%20Berlioz
1824,1896,Anton Bruckner,Austria,Anton%20Bruckner
1525,1594,Giovanni Pierluigi da Palestrina,Italy,Giovanni%20Pierluigi%20da%20Palestrina
1567,1643,Claudio Monteverdi,Italy,Claudio%20Monteverdi
1865,1957,Jean Sibelius,Finland,Jean%20Sibelius
1875,1937,Maurice Ravel,France,Maurice%20Ravel
1872,1958,Ralph Vaughan Williams,England,Ralph%20Vaughan%20Williams
1839,1881,Modest Mussorgsky,Russia,Modest%20Mussorgsky
1858,1924,Giacomo Puccini,Italy,Giacomo%20Puccini
1659,1695,Henry Purcell,England,Henry%20Purcell
1792,1868,Gioacchino Rossini,Italy,Gioacchino%20Rossini
1857,1934,Edward Elgar,England,Edward%20Elgar
1873,1943,Sergei Rachmaninoff,France,Sergei%20Rachmaninoff
1835,1921,Camille Saint-Saëns,France,Camille%20Saint-Saëns
1440,1521,Josquin Des Prez,France,Josquin%20Des%20Prez
1844,1908,Nikolai Rimsky-Korsakov,Russia,Nikolai%20Rimsky-Korsakov
1786,1826,Carl Maria von Weber,Germany,Carl%20Maria%20von%20Weber
1683,1764,Jean-Philippe Rameau,France,Jean-Philippe%20Rameau
1632,1687,Jean-Baptiste Lully,France,Jean-Baptiste%20Lully
1845,1924,Gabriel Fauré,France,Gabriel%20Fauré
1843,1907,Edvard Grieg,Norway,Edvard%20Grieg
1714,1787,Christoph Willibald Gluck,Germany,Christoph%20Willibald%20Gluck
1874,1951,Arnold Schoenberg,Austria,Arnold%20Schoenberg
1874,1954,Charles Ives,United States,Charles%20Ives
1895,1963,Paul Hindemith,Germany,Paul%20Hindemith
1908,1992,Olivier Messiaen,France,Olivier%20Messiaen
1900,1990,Aaron Copland,United States,Aaron%20Copland
1668,1733,Francois Couperin,France,Francois%20Couperin
1539,1623,William Byrd,England,William%20Byrd
1866,1925,Erik Satie,France,Erik%20Satie
1913,1976,Benjamin Britten,England,Benjamin%20Britten
1822,1890,César Franck,France,César%20Franck
1872,1915,Alexander Nikolayevich Scriabin,Russia,Alexander%20Nikolayevich%20Scriabin
1838,1875,Georges Bizet,France,Georges%20Bizet
1660,1725,Alessandro Scarlatti,Italy,Alessandro%20Scarlatti
1685,1757,Domenico Scarlatti,Italy,Domenico%20Scarlatti
1681,1767,Georg Philipp Telemann,Germany,Georg%20Philipp%20Telemann
1883,1945,Anton Webern,Austria,Anton%20Webern
1532,1594,Orlando de Lassus,Netherlands,Orlando%20de%20Lassus
1898,1937,George Gershwin,United States,George%20Gershwin
1797,1848,Carl Philipp Emanuel Bach,Germany,Carl%20Philipp%20Emanuel%20Bach
1653,1713,Archangelo Corelli,Italy,Archangelo%20Corelli
1505,1585,Thomas Tallis,England,Thomas%20Tallis
1825,1899,Johann Strauss Jr.,Austria,Johann%20Strauss%20Jr.
1804,1849,Johann Strauss Sr.,Austria,Johann%20Strauss%20Sr.
1854,1928,Leos Janácek,Czech,Leos%20Janácek
1300,1377,Guillaume de Machaut,France,Guillaume%20de%20Machaut
1885,1935,Alban Berg,Austria,Alban%20Berg
1833,1887,Alexander Borodin,Russia,Alexander%20Borodin
1801,1835,Vincenzo Bellini,Italy,Vincenzo%20Bellini
1818,1893,Charles Gounod,France,Charles%20Gounod
